iter	Passed	Remaining
1306	3617	1917
1307	3620	1915
1308	3625	1913
1309	3628	1911
1310	3631	1908
1311	3635	1906
1312	3640	1904
1313	3643	1902
1314	3646	1899
1315	3650	1897
1316	3655	1895
1317	3658	1893
1318	3662	1890
1319	3665	1888
1320	3670	1886
1321	3673	1884
1322	3677	1881
1323	3680	1879
1324	3684	1876
1325	3688	1874
1326	3691	1872
1327	3694	1869
1328	3698	1867
1329	3703	1865
1330	3706	1863
1331	3709	1860
1332	3713	1857
1333	3718	1856
1334	3721	1853
1335	3725	1851
1336	3728	1848
1337	3733	1847
1338	3736	1844
1339	3739	1842
1340	3743	1839
1341	3747	1837
1342	3751	1835
1343	3755	1832
1344	3758	1830
1345	3763	1828
1346	3767	1826
1347	3770	1823
1348	3773	1821
1349	3777	1818
1350	3782	1816
1351	3785	1814
1352	3788	1811
1353	3792	1809
1354	3797	1807
1355	3801	1805
1356	3804	1802
1357	3808	1800
1358	3812	1798
1359	3816	1795
1360	3819	1793
1361	3822	1790
1362	3827	1788
1363	3830	1786
1364	3834	1783
1365	3837	1781
1366	3842	1779
1367	3846	1776
1368	3849	1774
1369	3852	1771
1370	3857	1769
1371	3861	1767
1372	3864	1764
1373	3867	1762
1374	3872	1760
1375	3875	1757
1376	3879	1755
1377	3882	1752
1378	3885	1749
1379	3890	1747
1380	3893	1745
1381	3897	1742
1382	3900	1740
1383	3905	1738
1384	3908	1735
1385	3911	1732
1386	3915	1730
1387	3919	1728
1388	3923	1725
1389	3926	1723
1390	3930	1720
1391	3934	1718
1392	3938	1716
1393	3941	1713
1394	3945	1711
1395	3949	1708
1396	3953	1706
1397	3957	1703
1398	3960	1701
1399	3964	1698
1400	3969	1697
1401	3972	1694
1402	3975	1691
1403	3979	1689
1404	3984	1687
1405	3987	1684
1406	3990	1681
1407	3994	1679
1408	3998	1677
1409	4001	1674
1410	4005	1671
1411	4008	1669
1412	4011	1666
1413	4015	1664
1414	4019	1661
1415	4022	1659
1416	4025	1656
1417	4029	1653
1418	4033	1651
1419	4036	1648
1420	4039	1645
1421	4042	1643
1422	4046	1640
1423	4049	1638
1424	4052	1635
1425	4055	1632
1426	4058	1629
1427	4063	1627
1428	4066	1624
1429	4069	1622
1430	4072	1619
1431	4077	1617
1432	4080	1614
1433	4083	1611
1434	4086	1609
1435	4089	1606
1436	4094	1604
1437	4097	1601
1438	4100	1598
1439	4103	1595
1440	4107	1593
1441	4110	1590
1442	4113	1587
1443	4118	1585
1444	4121	1583
